BearID,Sex,Age,Capture Date,Year,Pop,TypicalSummerHabitat,SummerHabitatDuringHairGrowth,Lat,Long,d15N Air,d13C VPDB,Percent N,Percent C
21645,M,5,4/28/2015,2015,CS,NA,NA,68.0766,-167.7243,20.2,-15.5,15.06,43.43
20586,F,5,4/17/2005,2005,SB,ice,unknown,70.3134,-147.9887,20.1,-16.6,16.75,48.77
6545,F,5,4/24/1987,1987,SB,ice,unknown,71.05,-157.55,22.7,-15.6,17.78,52.49
21264,F,5,4/24/2011,2011,SB,land,unknown,70.5157,-147.8254,20.3,-17.1,14.86,42.94
6376,F,5,3/27/1985,1985,SB,unknown,unknown,70.4,-140.33,21.8,-16.9,15.34,48.83
6760,F,5,10/17/1988,1988,SB,unknown,unknown,70.4667,-143.2,21,-14.9,17.09,50.3
6603,F,5,4/18/1988,1988,SB,unknown,unknown,70.3667,-143.25,21.8,-15.9,14.55,42.26
20734,M,5,5/4/2007,2007,SB,unknown,unknown,70.2436,-143.3533,19.2,-17.2,15.96,45.88
6379,F,5,3/30/1985,1985,SB,unknown,unknown,70.75,-145.95,22.4,-16.6,15.38,44.48
21376,F,5,4/11/2014,2014,SB,unknown,unknown,71.0003,-146.2912,21.3,-17,14.31,41.5
22305,F,5,4/17/2015,2015,SB,unknown,unknown,,-146.6106,20.6,-17.5,15.48,44.39
21347,F,5,4/16/2013,2013,SB,unknown,unknown,,-146.6219,20.1,-17.5,14.98,42.44
21214,F,5,4/17/2015,2015,SB,unknown,unknown,70.3308,-146.6789,20.6,-17.5,14.7,42.3
21344,M,5,4/13/2013,2013,SB,unknown,unknown,70.9684,-146.8871,19.8,-17.9,16.45,47.38
22309,F,5,4/23/2015,2015,SB,unknown,unknown,70.3643,-147.0432,20.9,-17.8,15.59,45.09
6638,F,5,10/24/1988,1988,SB,unknown,unknown,70.4,-147.2333,21.3,-14.6,14.11,41.15
20865,F,5,5/9/2006,2006,SB,unknown,unknown,70.532,-147.2488,19.6,-15.3,17.05,49.67
20851,M,5,4/20/2006,2006,SB,unknown,unknown,70.802,-147.5078,21.1,-17.2,14.45,41.69
20813,M,5,4/24/2005,2005,SB,unknown,unknown,70.4855,-147.5169,21.2,-15.5,16.01,46.18
6287,M,5,10/25/1983,1983,SB,unknown,unknown,70.5667,-147.5333,22.5,-14.8,14.73,42.5
6640,F,5,10/25/1988,1988,SB,unknown,unknown,70.4,-147.5667,20.9,-15,15.36,44.91
21249,F,5,4/17/2015,2015,SB,unknown,unknown,70.5151,-147.7791,20.4,-17.1,15.37,43.4
20947,M,5,10/11/2009,2009,SB,unknown,unknown,70.4918,-147.9788,19.5,-16.7,13.09,37.59
6071,M,5,10/20/1983,1983,SB,unknown,unknown,70.8167,-148.25,21.4,-14.6,15.11,44.03
6250,M,5,4/22/1983,1983,SB,unknown,unknown,70.8833,-149.1,21.5,-15.5,14.28,41.77
21260,M,5,4/14/2014,2014,SB,unknown,unknown,,-149.1057,20.4,-18.1,13.97,40.66
32255,F,5,8/10/2009,2009,SB,unknown,unknown,70.5305,-149.252,19.8,-17,16.32,47.08
21028,M,5,4/6/2014,2014,SB,unknown,unknown,,-149.3902,19.7,-18.4,13.94,41.03
20947,M,5,8/10/2009,2009,SB,unknown,unknown,70.5558,-149.5878,20,-17.2,15.54,45.34
21384,F,5,4/15/2014,2014,SB,unknown,unknown,,-152.5588,21,-17.8,14.19,41.26
20696,F,5,4/8/2004,2004,SB,unknown,unknown,71.6755,-154.1816,21.3,-15.3,13.17,38.4
21274,M,5,3/29/2013,2013,SB,unknown,unknown,71.4812,-155.443,20.6,-16.6,15.41,44.19
21274,M,5,4/4/2015,2015,SB,unknown,unknown,71.5756,-156.1176,20.9,-16.7,14.76,42.64
20776,F,5,4/13/2008,2008,SB,unknown,unknown,71.4133,-156.1208,20.7,-16.3,11.32,32.69
6289,M,5,3/24/1984,1984,SB,unknown,unknown,71.6333,-157.75,21.5,-15.3,15.62,44.52
20965,M,5,8/24/2008,2008,SB,land,land,70.1933,-146.0366,20.1,-18.1,19.09,55.93
6760,F,6,4/3/1989,1989,CS,NA,NA,NA,NA,21.1,-14.1,14.73,42.88
6389,F,6,4/23/1987,1987,CS,NA,NA,70.75,-164.6167,22.1,-16,14.29,41.79
21206,F,6,4/25/2016,2016,CS,NA,NA,67.5717,-165.0088,21.2,-16.1,13.25,38.49
21135,M,6,3/17/2010,2010,CS,NA,NA,66.8552,-165.4207,20.5,-15.9,15.3,44.4
6749,F,6,3/19/1988,1988,CS,NA,NA,66.5833,-165.5167,20.6,-14.1,14.45,42.31
21513,M,6,4/20/2015,2015,CS,NA,NA,67.2434,-165.7834,20.2,-15.6,13.09,38.15
21522,F,6,4/21/2011,2011,CS,NA,NA,67.1724,-165.7836,20.7,-15.5,15.3,43.4
21598,F,6,3/25/2015,2015,CS,NA,NA,67.8303,-166.1394,20.2,-14.9,15.59,45.18
21502,F,6,4/21/2015,2015,CS,NA,NA,67.0612,-166.1655,21.2,-15.2,13.78,40.29
21617,F,6,4/12/2015,2015,CS,NA,NA,67.5179,-166.1725,20.1,-14.8,17.96,52.17
21737,M,6,4/13/2017,2017,CS,NA,NA,67.5664,-166.2989,21.4,-15.9,14.98,43.71
21633,F,6,4/17/2015,2015,CS,NA,NA,66.9173,-166.3201,19.7,-14.9,14.98,43.34
21142,M,6,3/19/2010,2010,CS,NA,NA,67.8525,-166.754,19.9,-15,15.2,43.2
21091,F,6,4/3/2009,2009,CS,NA,NA,67.8367,-166.9271,20.6,-15.3,15.8,45.8
21085,M,6,4/1/2009,2009,CS,NA,NA,67.8776,-167.0104,20.6,-15.6,14.6,43.3
21181,M,6,4/17/2015,2015,CS,NA,NA,68.9127,-167.1229,20.8,-15.6,12.84,36.79
